"dataset_name","family","input_vertices","ring_count","hole_count","default_target_ratio","sweep_focus","stress_property","why_challenging"
"convex_large_064","convex_large","64","1","0","0.5","no","High vertex count on a simple convex exterior ring.","Separates algorithmic overhead from topology complexity by forcing many candidate updates on a geometry with no holes."
"convex_large_128","convex_large","128","1","0","0.5","no","High vertex count on a simple convex exterior ring.","Separates algorithmic overhead from topology complexity by forcing many candidate updates on a geometry with no holes."
"convex_large_256","convex_large","256","1","0","0.5","yes","High vertex count on a simple convex exterior ring.","Separates algorithmic overhead from topology complexity by forcing many candidate updates on a geometry with no holes."
"convex_large_512","convex_large","512","1","0","0.5","no","High vertex count on a simple convex exterior ring.","Separates algorithmic overhead from topology complexity by forcing many candidate updates on a geometry with no holes."
"many_holes_2x2","many_holes","20","5","4","0.65","no","Many interior rings and dense ring-to-ring interaction checks.","Topology preservation dominates because every collapse must avoid both self-intersections and hole collisions."
"many_holes_3x3","many_holes","40","10","9","0.65","no","Many interior rings and dense ring-to-ring interaction checks.","Topology preservation dominates because every collapse must avoid both self-intersections and hole collisions."
"many_holes_4x4","many_holes","68","17","16","0.65","yes","Many interior rings and dense ring-to-ring interaction checks.","Topology preservation dominates because every collapse must avoid both self-intersections and hole collisions."
"many_holes_5x5","many_holes","104","26","25","0.65","no","Many interior rings and dense ring-to-ring interaction checks.","Topology preservation dominates because every collapse must avoid both self-intersections and hole collisions."
"narrow_gap_096","narrow_gap","118","3","2","0.55","no","Small clearances between exterior ring and nearby holes.","A valid local area-preserving point can become globally invalid because tiny movements may intersect a neighboring ring."
"narrow_gap_192","narrow_gap","214","3","2","0.55","no","Small clearances between exterior ring and nearby holes.","A valid local area-preserving point can become globally invalid because tiny movements may intersect a neighboring ring."
"narrow_gap_384","narrow_gap","406","3","2","0.55","no","Small clearances between exterior ring and nearby holes.","A valid local area-preserving point can become globally invalid because tiny movements may intersect a neighboring ring."
"near_collinear_080","near_collinear","80","1","0","0.4","no","Nearly collinear chains and skinny geometry.","Stresses floating-point robustness, small triangle areas, and collapse validity near degenerate configurations."
"near_collinear_160","near_collinear","160","1","0","0.4","no","Nearly collinear chains and skinny geometry.","Stresses floating-point robustness, small triangle areas, and collapse validity near degenerate configurations."
"near_collinear_320","near_collinear","320","1","0","0.4","yes","Nearly collinear chains and skinny geometry.","Stresses floating-point robustness, small triangle areas, and collapse validity near degenerate configurations."
"near_collinear_640","near_collinear","640","1","0","0.4","no","Nearly collinear chains and skinny geometry.","Stresses floating-point robustness, small triangle areas, and collapse validity near degenerate configurations."
"scaled_irregular_large","scaled_irregular","197","3","2","0.5","no","Coordinate scale sensitivity with identical topology and vertex count.","Tests whether large coordinate magnitudes affect timing, memory, or numerical stability even when combinatorial structure is unchanged."
"scaled_irregular_small","scaled_irregular","197","3","2","0.5","no","Coordinate scale sensitivity with identical topology and vertex count.","Tests whether large coordinate magnitudes affect timing, memory, or numerical stability even when combinatorial structure is unchanged."
"wavy_boundary_064","wavy_boundary","64","1","0","0.45","no","Irregular noisy outer boundary.","Creates many low-displacement local collapses with nontrivial geometry, increasing the need for careful validity checks."
"wavy_boundary_128","wavy_boundary","128","1","0","0.45","no","Irregular noisy outer boundary.","Creates many low-displacement local collapses with nontrivial geometry, increasing the need for careful validity checks."
"wavy_boundary_256","wavy_boundary","256","1","0","0.45","yes","Irregular noisy outer boundary.","Creates many low-displacement local collapses with nontrivial geometry, increasing the need for careful validity checks."
"wavy_boundary_512","wavy_boundary","512","1","0","0.45","no","Irregular noisy outer boundary.","Creates many low-displacement local collapses with nontrivial geometry, increasing the need for careful validity checks."
